Table 215-16007 : Number of vacancies (other than those in the civil service) analysed by industry section and major occupation group,,,,,,,,,,,,
 ,,,,,,,,,,,,
 , , ,Vacancies,Vacancies,Vacancies,Vacancies,Vacancies,Vacancies,Vacancies,Vacancies,Vacancies,Vacancies
,,,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.
Major occupation group,,,Managers,Professionals,Associate professionals,Clerical support workers,Service and sales workers,Craft and related workers,Plant and machine operators and assemblers,Skilled agricultural and fishery workers,Elementary occupations,Total
Year,Month,Industry section,,,,,,,,,,
2016,Mar,C: Manufacturing,39,100,181,201,488,764,350,0,761,2884
2016,Mar,"B, D & E: Mining and quarrying; and electricity and gas supply, and waste management",11,13,54,86,21,31,24,0,47,287
2016,Mar,F: Construction sites (manual workers only),-,-,-,-,-,743,101,-,116,960
2016,Mar,"G: Import/export, wholesale and retail trades",597,463,1893,1871,6926,650,335,20,1823,14578
2016,Mar,G45-46: Import/export trade and wholesale,416,418,1565,1433,1400,400,218,0,1073,6923
2016,Mar,G47: Retail,181,45,328,438,5526,250,117,20,750,7655
2016,Mar,"H: Transportation, storage, postal and courier services",135,223,313,1026,389,311,439,2,597,3435
2016,Mar,I: Accommodation and food services,141,6,133,524,10260,139,179,0,1548,12930
2016,Mar,J: Information and communications,211,1055,870,140,173,66,0,0,36,2551
2016,Mar,K: Financing and insurance,1166,584,1906,1305,120,4,19,0,74,5178
2016,Mar,L: Real estate,140,125,994,402,2033,198,7,2,331,4232
2016,Mar,M & N: Professional and business services,255,1065,1447,1278,2676,205,87,53,1920,8986
2016,Mar,P - S: Social and personal services,277,2541,1571,2085,5366,645,98,15,1682,14280
2016,Mar,All industry sections covered,2972,6175,9362,8918,28452,3756,1639,92,8935,70301
2016,Jun,C: Manufacturing,6,96,157,216,144,660,335,0,670,2284
2016,Jun,"B, D & E: Mining and quarrying; and electricity and gas supply, and waste management",11,14,31,83,0,34,32,0,52,257
2016,Jun,F: Construction sites (manual workers only),-,-,-,-,-,365,79,-,102,546
2016,Jun,"G: Import/export, wholesale and retail trades",674,740,2478,1766,6380,471,247,0,1279,14035
2016,Jun,G45-46: Import/export trade and wholesale,510,684,2013,1413,1215,164,223,0,716,6938
2016,Jun,G47: Retail,164,56,465,353,5165,307,24,0,563,7097
2016,Jun,"H: Transportation, storage, postal and courier services",171,198,336,738,279,121,671,0,771,3285
2016,Jun,I: Accommodation and food services,64,8,300,471,10205,102,183,0,1704,13037
2016,Jun,J: Information and communications,213,986,880,89,227,65,7,0,6,2473
2016,Jun,K: Financing and insurance,1025,711,2336,1002,74,2,24,0,57,5231
2016,Jun,L: Real estate,137,95,1041,394,1838,206,11,4,272,3998
2016,Jun,M & N: Professional and business services,375,1183,1780,1156,2267,159,76,3,1790,8789
2016,Jun,P - S: Social and personal services,360,2488,2186,1681,5119,673,114,2,1641,14264
2016,Jun,All industry sections covered,3036,6519,11525,7596,26533,2858,1779,9,8344,68199
2016,Sep,C: Manufacturing,30,54,169,120,187,560,488,0,491,2099
2016,Sep,"B, D & E: Mining and quarrying; and electricity and gas supply, and waste management",7,13,57,6,2,44,9,0,58,196
2016,Sep,F: Construction sites (manual workers only),-,-,-,-,-,415,80,-,97,592
2016,Sep,"G: Import/export, wholesale and retail trades",683,599,2351,2138,7219,709,177,0,1434,15310
2016,Sep,G45-46: Import/export trade and wholesale,516,519,1835,1551,1160,357,163,0,930,7031
2016,Sep,G47: Retail,167,80,516,587,6059,352,14,0,504,8279
2016,Sep,"H: Transportation, storage, postal and courier services",89,134,248,778,300,160,862,0,635,3206
2016,Sep,I: Accommodation and food services,86,7,100,342,10596,146,36,0,1912,13225
2016,Sep,J: Information and communications,209,1131,1029,129,166,134,8,0,24,2830
2016,Sep,K: Financing and insurance,1186,831,2308,957,80,1,3,0,52,5418
2016,Sep,L: Real estate,201,71,1131,256,1631,228,3,1,531,4053
2016,Sep,M & N: Professional and business services,386,966,1459,1142,2123,178,72,30,1846,8202
2016,Sep,P - S: Social and personal services,258,2379,2194,2128,4955,493,68,21,1714,14210
2016,Sep,All industry sections covered,3135,6185,11046,7996,27259,3068,1806,52,8794,69341
2016,Dec,C: Manufacturing,8,119,100,145,173,438,467,0,617,2067
2016,Dec,"B, D & E: Mining and quarrying; and electricity and gas supply, and waste management",8,16,26,12,2,41,22,0,57,184
2016,Dec,F: Construction sites (manual workers only),-,-,-,-,-,670,46,-,132,848
2016,Dec,"G: Import/export, wholesale and retail trades",617,663,1883,2405,6675,438,323,0,1442,14446
2016,Dec,G45-46: Import/export trade and wholesale,420,587,1535,1837,1243,200,318,0,933,7073
2016,Dec,G47: Retail,197,76,348,568,5432,238,5,0,509,7373
2016,Dec,"H: Transportation, storage, postal and courier services",120,255,298,671,222,126,552,0,796,3040
2016,Dec,I: Accommodation and food services,144,58,350,473,10177,124,35,0,1999,13360
2016,Dec,J: Information and communications,265,1195,829,182,125,83,0,0,29,2708
2016,Dec,K: Financing and insurance,1030,711,2132,949,29,0,44,0,74,4969
2016,Dec,L: Real estate,142,102,1242,310,1474,201,14,2,463,3950
2016,Dec,M & N: Professional and business services,242,768,1686,1013,1988,149,89,57,2163,8155
2016,Dec,P - S: Social and personal services,205,2295,2094,2089,4803,382,75,22,1449,13414
2016,Dec,All industry sections covered,2781,6182,10640,8249,25668,2652,1667,81,9221,67141
2017,Mar,C: Manufacturing,7,76,280,131,417,597,342,0,717,2567
2017,Mar,"B, D & E: Mining and quarrying; and electricity and gas supply, and waste management",11,3,30,5,3,23,18,0,96,189
2017,Mar,F: Construction sites (manual workers only),-,-,-,-,-,355,26,-,187,568
2017,Mar,"G: Import/export, wholesale and retail trades",824,866,2409,2076,6378,550,367,3,1595,15068
2017,Mar,G45-46: Import/export trade and wholesale,596,748,1983,1681,877,168,250,3,1226,7532
2017,Mar,G47: Retail,228,118,426,395,5501,382,117,0,369,7536
2017,Mar,"H: Transportation, storage, postal and courier services",85,161,392,923,322,266,545,0,908,3602
2017,Mar,I: Accommodation and food services,132,16,379,354,10784,138,3,0,1859,13665
2017,Mar,J: Information and communications,252,1203,900,190,131,30,2,0,11,2719
2017,Mar,K: Financing and insurance,923,713,2572,1022,61,0,13,0,76,5380
2017,Mar,L: Real estate,168,119,1195,358,1889,215,2,5,309,4260
2017,Mar,M & N: Professional and business services,370,1410,1714,842,2282,85,78,77,2123,8981
2017,Mar,P - S: Social and personal services,235,2839,1731,1316,4657,703,92,10,1881,13464
2017,Mar,All industry sections covered,3007,7406,11602,7217,26924,2962,1488,95,9762,70463
2017,Jun,C: Manufacturing,16,83,203,152,217,645,285,0,687,2288
